Well ID,S.No,STATE,DISTRICT,BLOCK,LOCATION,LATITUDE,LONGITUDE,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U(ppb)
W241837092093401,5376,Tripura,North Tripura,Panisagar,Deocherra,24.3102778,92.15972222,2021,7.29,155.7,0,24.42,35.45,6.79,6.2,,50,8.01,7.28,9.52,4,0.2,,82.37,
W233416091232601,5377,Tripura,Sepahijala,Nalchar,Rajib Nagar,23.5711806,91.39055556,2021,7.28,50.57,0,18.31,10.635,2.2,0.95,,25,6,2.42,3.75,3.13,0.25,,24.83,
W280057081240201,5378,Uttar Pradesh,Bahraich,Mihipurwa,Mihipurwa,28.0256,81.3836,2021,8.16,725,0,378,14,0,0,0,310,76,29,9,1.8,0.87,30,,
W272118081400001,5379,Uttar Pradesh,Bahraich,Huzurpur,Huzurpur,27.3528,81.6658,2021,7.82,603,0,311,14,0,0,0,250,52,29,15,3.5,0,27,,
W193819084255201,5380,Uttar Pradesh,Balrampur,Balrampur H.Q.,Balrampur,27.4286,82.1711,2021,7.61,536,0,305,21,7.8,0,0,250,68,19,14,2.7,0.25,32,,
W272500082100002,5381,Uttar Pradesh,Balrampur,Utraula,Utraula,27.3214,82.4075,2021,8.04,487,0,256,21,0,0,0,190,40,22,14,4.2,0,29,,
W273118082400001,5382,Uttar Pradesh,Balrampur,Pachperwa H.Q.,Pachperwa,27.5272,82.6303,2021,8.3,797,0,500,14,0,0,0,280,20,55,74,0,0,24,,
W273215082321501,5383,Uttar Pradesh,Balrampur,Gainsari H.Q.,Gainsari,27.5294,82.5475,2021,8.13,544,0,171,71,11,0,0,220,44,26,16,2.3,0.58,23,,
W270130082390001,5384,Uttar Pradesh,Basti,Rudauli H.Q.,Rudauli,27.0275,82.8153,2021,7.93,2840,0,952,227,271,0,0,340,28,65,456,0,1.5,26,,
W114909093023001,5385,Uttar Pradesh,Basti,Ramnagar H.Q.,Ramnagar,27.0606,82.6556,2021,8.19,650,0,329,14,5.9,0,0,230,28,38,30,3,0.66,32,,
W232500088270001,5386,Uttar Pradesh,Basti,Bahadurpur H.Q.,Bahadurpur,26.6883,82.6881,2021,8,685,0,342,21,0,0,0,240,44,31,33,2.6,0.63,30,,
W270200082150001,5387,Uttar Pradesh,Gonda,Mankapur H.Q.,Mankapur,27.0539,82.2139,2021,8.19,555,0,281,14,6.9,0,0,190,28,29,28,2.9,0.24,36,,
W243901085250601,5388,Uttar Pradesh,Gonda,Nawabganj H.Q.,Nawabganj,26.8708,82.1361,2021,8.31,459,0,226,21,0,0,0,215,28,35,9.5,3.4,0,32,,
W244815085131501,5389,Uttar Pradesh,Gonda,Wazirganj H.Q.,Wazirganj,26.9478,82.1208,2021,8.15,380,0,232,7.1,0,0,0,195,36,25,4,2,0.56,29,,
W263233084112301,5390,Uttar Pradesh,Shrawasti,Jamunaha H.Q.,Jamunaha,27.8233,81.7714,2021,8.12,708,0,390,14,0,0,0,230,32,36,42,2.1,0.22,25,,
W272100082410001,5391,Uttar Pradesh,Siddharth Nagar,Itwa H.Q.,Itwa,27.3217,82.6931,2021,7.97,610,0,317,14,6.5,0,0,245,44,32,16,1.7,0.55,29,,
W272955082470001,5392,Uttar Pradesh,Siddharth Nagar,Badhni H.Q.,Badhni,27.4892,82.7769,2021,8.4,847,24,384,21,0,0,0,340,76,36,34,0,0.81,18,,
W244942083134201,5393,Uttar Pradesh,Siddharth Nagar,Naugarh H.Q.,Naugarh,27.2706,83.0844,2021,7.89,827,0,415,36,5.4,0,0,320,36,55,25,2.2,0.75,28,,
W272205083070501,5394,Uttar Pradesh,Siddharth Nagar,Birdpur H.Q.,Birdpur,27.3422,83.11,2021,8.01,996,0,525,14,37,0,0,330,48,50,94,1.1,0.93,25,,
W263451086122401,5395,Uttar Pradesh,Siddharth Nagar,Jogiya H.Q.,Jogiya,27.2528,83.0081,2021,7.82,946,0,500,21,0,0,0,380,48,62,23,2,0.77,29,,
W245154078284801,5396,Uttar Pradesh,Siddharth Nagar,Bansi H.Q.,Bansi,27.1717,82.9292,2021,7.8,900,0,378,64,14,0,0,340,52,50,32,2.9,0.53,32,,
W301855078002601,5397,Uttrakhand,Dehradun,Raipur,Kanwali,30.31528,78.00722,2021,7.39,903,Nil,342,28,92,14,nd,400,84,46,22,1.4,0,25,,
W200931085452501,5398,Uttrakhand,Dehradun,Raipur,Niranjanpur,30.3039806,78.01123611,2021,7.43,900,Nil,378,43,56,31,nd,410,92,43,26,0,0,25,,
W301923077593101,5399,Uttrakhand,Dehradun,Raipur,Harbanswala,30.32333,77.99222,2021,8.05,560,Nil,220,14,42,0,nd,240,64,19,8,1.2,0,16,,
W302235078055301,5400,Uttrakhand,Dehradun,Raipur,Tarla Nagal,30.3763889,78.09833333,2021,7.87,537,Nil,244,14,33,0,nd,250,44,34,6,0,0,13,,
W302000078050201,5401,Uttrakhand,Dehradun,Raipur,Nanurkhera,30.33333,78.08389,2021,7.84,503,Nil,244,14,25,0,nd,240,36,36,6,0,0,12,,
W302038078071301,5402,Uttrakhand,Dehradun,Raipur,Maldeota,30.34389,78.12028,2021,8.19,2000,Nil,159,206,580,0,nd,210,20,38,375,9.2,0.18,9,,
W301438078074701,5403,Uttrakhand,Dehradun,Raipur,Gularghagti,30.24389,78.13,2021,7.8,872,Nil,268,14,150,0,nd,400,88,43,5,1.2,0,16,,
W301525078090101,5404,Uttrakhand,Dehradun,Raipur,Bhopalpani (Badawali),32.3616667,78.35694444,2021,7.96,400,Nil,195,14,22,0,nd,180,48,14,14,1,0,36,,
W300618078173001,5405,Uttrakhand,Dehradun,Doiwala,Rishikesh,30.115,78.29194444,2021,7.85,470,Nil,171,7,55,0,nd,200,48,19,8,0,0,23,,
W300057078121701,5406,Uttrakhand,Dehradun,Doiwala,Khandgaon,30.01611,78.205,2021,7.8,502,Nil,220,14,44,0,nd,220,32,34,17,0,0,13,,
